"sid","X2015.10.08.00.10.00","X2015.10.08.00.20.00","X2015.10.08.00.30.00","X2015.10.08.00.40.00","X2015.10.08.00.50.00","X2015.10.08.01.00.00","X2015.10.08.01.10.00","X2015.10.08.01.20.00","X2015.10.08.01.30.00","X2015.10.08.01.40.00","X2015.10.08.01.50.00","X2015.10.08.02.00.00","X2015.10.08.02.10.00","X2015.10.08.02.20.00","X2015.10.08.02.30.00","X2015.10.08.02.40.00","X2015.10.08.02.50.00","X2015.10.08.03.00.00","X2015.10.08.03.10.00","X2015.10.08.03.20.00","X2015.10.08.03.30.00","X2015.10.08.03.40.00","X2015.10.08.03.50.00","X2015.10.08.04.00.00","X2015.10.08.04.10.00","X2015.10.08.04.20.00","X2015.10.08.04.30.00","X2015.10.08.04.40.00","X2015.10.08.04.50.00","X2015.10.08.05.00.00","X2015.10.08.05.10.00","X2015.10.08.05.20.00","X2015.10.08.05.30.00","X2015.10.08.05.40.00","X2015.10.08.05.50.00","X2015.10.08.06.00.00","X2015.10.08.06.10.00","X2015.10.08.06.20.00","X2015.10.08.06.30.00","X2015.10.08.06.40.00","X2015.10.08.06.50.00","X2015.10.08.07.00.00","X2015.10.08.07.10.00","X2015.10.08.07.20.00","X2015.10.08.07.30.00","X2015.10.08.07.40.00","X2015.10.08.07.50.00","X2015.10.08.08.00.00","X2015.10.08.08.10.00","X2015.10.08.08.20.00","X2015.10.08.08.30.00","X2015.10.08.08.40.00","X2015.10.08.08.50.00","X2015.10.08.09.00.00","X2015.10.08.09.10.00","X2015.10.08.09.20.00","X2015.10.08.09.30.00","X2015.10.08.09.40.00","X2015.10.08.09.50.00","X2015.10.08.10.00.00","X2015.10.08.10.10.00","X2015.10.08.10.20.00","X2015.10.08.10.30.00","X2015.10.08.10.40.00","X2015.10.08.10.50.00","X2015.10.08.11.00.00","X2015.10.08.11.10.00","X2015.10.08.11.20.00","X2015.10.08.11.30.00","X2015.10.08.11.40.00","X2015.10.08.11.50.00","X2015.10.08.12.00.00","X2015.10.08.12.10.00","X2015.10.08.12.20.00","X2015.10.08.12.30.00","X2015.10.08.12.40.00","X2015.10.08.12.50.00","X2015.10.08.13.00.00","X2015.10.08.13.10.00","X2015.10.08.13.20.00","X2015.10.08.13.30.00","X2015.10.08.13.40.00","X2015.10.08.13.50.00","X2015.10.08.14.00.00","X2015.10.08.14.10.00","X2015.10.08.14.20.00","X2015.10.08.14.30.00","X2015.10.08.14.40.00","X2015.10.08.14.50.00","X2015.10.08.15.00.00","X2015.10.08.15.10.00","X2015.10.08.15.20.00","X2015.10.08.15.30.00","X2015.10.08.15.40.00","X2015.10.08.15.50.00","X2015.10.08.16.00.00","X2015.10.08.16.10.00","X2015.10.08.16.20.00","X2015.10.08.16.30.00","X2015.10.08.16.40.00","X2015.10.08.16.50.00","X2015.10.08.17.00.00","X2015.10.08.17.10.00","X2015.10.08.17.20.00","X2015.10.08.17.30.00","X2015.10.08.17.40.00","X2015.10.08.17.50.00","X2015.10.08.18.00.00","X2015.10.08.18.10.00","X2015.10.08.18.20.00","X2015.10.08.18.30.00","X2015.10.08.18.40.00","X2015.10.08.18.50.00","X2015.10.08.19.00.00","X2015.10.08.19.10.00","X2015.10.08.19.20.00","X2015.10.08.19.30.00","X2015.10.08.19.40.00","X2015.10.08.19.50.00","X2015.10.08.20.00.00","X2015.10.08.20.10.00","X2015.10.08.20.20.00","X2015.10.08.20.30.00","X2015.10.08.20.40.00","X2015.10.08.20.50.00","X2015.10.08.21.00.00","X2015.10.08.21.10.00","X2015.10.08.21.20.00","X2015.10.08.21.30.00","X2015.10.08.21.40.00","X2015.10.08.21.50.00","X2015.10.08.22.00.00","X2015.10.08.22.10.00","X2015.10.08.22.20.00","X2015.10.08.22.30.00","X2015.10.08.22.40.00","X2015.10.08.22.50.00","X2015.10.08.23.00.00","X2015.10.08.23.10.00","X2015.10.08.23.20.00","X2015.10.08.23.30.00","X2015.10.08.23.40.00","X2015.10.08.23.50.00","X2015.10.09.00.00.00"
"488",2,-1,-2,3,0,0,5,-1,0,0,1,1,-1,-1,-2,2,0,0,0,1,0,-1,1,0,-2,1,-1,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-2,-2,-6,-7,-1,-3,-2,-3,-1,-1,-3,-4,0,1,-1,1,1,0,-1,-1,0,3,-1,2,2,-1,-3,0,-1,0,0,1,-1,1,-2,0,0,1,-1,1,3,0,0,1,-1,0,0,0,2,0,-3,4,-1,3,-1,2,1,3,1,2,4,2,-2,3,-1,7,1,1,1,5,-1,1,0,-3,-2,0,1,1,4,-4,-2,-1,0
"489",1,-2,1,1,1,3,0,2,1,2,1,0,1,0,-3,-2,0,1,2,1,1,0,1,0,0,1,0,0,1,3,-3,0,0,0,0,0,0,0,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,3,-1,1,2,-1,2,-1,-5,-3,2,0,-2,-7,-3,0,1,4,-2,5,5,9,6,5,0,-1,1,-2,0,2,0,-1,1,-4,0,1,3,0,0,-1,0,-3,-2,1,-1,1,-3,0,2,0,-2,-1,-1,2,-2,-2,1,1,-1,1,-1,-1,1,0,-2,0,1,2,-5,3,0,-2,-4,-2,-5,2,-1,0,-4,0,-1,5,0
"490",1,0,-1,-2,1,-5,-2,2,1,0,1,0,-3,-3,1,0,-1,-1,0,-1,0,-1,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,-1,0,0,-1,-2,0,-2,2,-21,-18,-1,0,0,1,-1,0,0,4,-3,-1,1,-1,1,-1,2,-1,0,-1,2,0,-2,0,2,-1,2,0,1,-3,0,0,-1,0,0,1,0,0,-1,0,2,1,-1,2,2,0,1,2,0,-1,2,1,0,1,3,0,3,5,-1,4,8,3,5,5,0,4,5,1,-1,0,0,1,-1,-2,3,0,-1,1,0,0,-1,0,1
"491",0,0,0,0,0,0,0,1,-1,2,-2,0,1,-1,0,1,-1,0,1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,1,3,1,2,3,6,6,4,7,2,4,3,-1,6,1,1,3,0,0,0,0,0,-2,2,0,0,0,-1,1,-3,1,3,0,0,0,0,-3,0,2,0,1,-2,0,2,0,-3,0,0,0,-1,2,-1,-2,3,0,-2,-2,-3,-2,-2,-2,1,-5,-3,-2,-6,-8,-9,-5,-1,2,-2,1,1,1,-2,0,0,-1,0,0,0,0,1
"492",-6,-14,-11,1,0,0,0,1,2,-3,2,-2,-1,-1,1,-1,1,0,1,2,-4,-2,0,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,2,-2,1,0,-1,0,0,0,0,3,-2,-1,1,-1,0,2,-2,3,-3,0,0,1,-1,0,0,0,0,0,0,0,0,1,3,-2,0,2,0,-3,0,2,0,1,1,-2,0,2,1,0,4,10,2,5,2,2,6,5,1,3,-1,-3,-7,-7,-6,14,12,0,0,0,-2,2,-1,1,-5,-5,7,3,-5,5,0,-16,-11,-10
"493",0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,-1,4,0,2,2,4,2,4,9,1,0,-2,2,0,0,-1,0,1,0,0,-1,1,0,0,0,0,0,0,-1,-2,0,0,-3,1,2,-2,4,1,0,0,-2,-5,-12,-3,1,-5,0,-2,-3,3,1,-1,-1,-3,0,1,0,-1,1,-1,3,-3,1,-1,0,0,0,0,1,-1,0,0,0,2,-2,0,0,0,0,1
"494",-1,2,-1,0,-2,0,1,-2,2,-1,-3,-2,-2,1,1,1,-1,-2,1,0,-1,0,2,0,0,-2,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-3,-3,0,0,-1,1,-4,1,-1,0,-2,-5,1,-7,3,6,-2,-4,0,2,1,1,-3,2,2,2,0,0,1,-2,0,-1,1,0,1,2,-1,1,2,-1,1,-2,1,-1,2,3,2,-1,-2,1,-1,1,-1,-1,2,1,2,0,-1,-1,2,1,-1,1,0,5,2,1,1,3,1,1,-4,3,1,0,-5,-5,3,2,1,0
"495",1,-1,0,1,-1,-1,2,0,0,0,0,0,-1,1,0,0,0,-1,0,1,0,-1,-2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2,-1,0,1,0,-5,-1,-1,1,-3,-1,-4,-4,-2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,1,0,0,-2,0,0,1,0,0,1,1,0,-1,0,0,0,0,0,1,-3,0,1,1,-1,2,0,-1,0,-1,3,0,0,-3,1,0,6,0,0,0,0,-3,2,4,5,0,2,3,1,1,-2,0
"496",-2,2,-1,-2,2,-2,0,0,1,-1,1,-1,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,1,-1,4,0,0,1,3,7,8,5,5,8,2,0,-2,1,-3,3,1,-1,0,1,0,0,0,0,0,-1,-1,1,-1,-1,0,-1,2,1,-1,-1,-3,0,-3,-2,1,0,-1,-7,4,4,3,0,-3,4,-4,-5,0,-2,-2,-1,4,-5,-6,-2,0,-6,-3,-3,-1,0,-1,-2,0,1,4,-2,-3
"497",1,0,-1,0,0,0,0,3,-3,1,-1,0,0,3,-1,-2,1,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,1,-1,0,1,1,0,-2,1,2,1,1,3,1,4,5,-2,5,4,8,6,14,-1,0,0,1,-3,0,2,1,0,-3,1,1,-2,4,-1,1,-2,1,1,-2,2,-1,-1,-3,1,2,-2,3,-7,4,-2,-14,-17,6,0,-7,-3,-2,0,4,0,0,2,1,3,4,-1,0,-1,-6,-3,0,-3,-13,2,-2,1,5,-5,2,-3,4,1,0,-5,1,-1
"498",0,-1,-2,0,1,-2,0,0,2,-2,1,-1,0,0,0,1,-1,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,1,0,-1,0,0,0,0,3,0,-1,-2,1,-1,0,1,0,0,-1,1,1,-1,1,0,0,2,3,1,1,-3,1,1,1,1,-5,5,-3,1,-3,-3,3,0,-1,-4,0,1,-1,2,0,-1,-1,2,-1,-1,0,1,1,1,1,-2,0,-1,5,6,2,-3,2,1,-2,-4,-7,5,0,-1,-4,1,-1,0,-1
"499",0,0,0,4,16,-7,2,-2,2,0,-3,-2,-5,0,-2,-3,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,4,6,0,0,0,0,-1,-1,0,1,0,2,-1,2,0,-1,-1,1,-1,-1,-1,0,-2,-1,1,-1,2,1,0,-1,0,3,0,0,-2,1,0,3,3,1,-6,2,0,-1,-1,-3,4,-1,0,-2,-1,2,0,3,1,0,5,4,1,2,1,-1,-2,0,2,1,0,3,0,1,-1,-1,0,2,2,-1,-2,0,-3,-1,-4,1,3,-3,-6,7,-6,6,-6,-2,-4,-5,-4,0,-2
"500",0,1,1,-2,0,1,0,-1,0,1,0,-1,0,1,-1,0,0,1,-1,0,1,1,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,3,2,4,5,5,0,6,12,7,2,0,-1,1,0,-1,1,0,0,0,-1,1,-1,1,-4,1,2,0,-1,1,0,0,0,-1,-1,1,-2,1,1,-1,1,-3,0,-1,-2,1,-1,-2,0,-2,2,3,0,0,1,-1,-4,-5,-7,1,-2,0,-2,-11,-6,-2,-4,-2,-1,0,4,-4,0,0,0,2,-2,0,0,2,1
"501",-1,0,0,-3,0,-1,0,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,-10,5,-1,1,-1,-6,-5,-6,4,-8,4,2,-6,6,5,1,0,-4,0,0,1,-1,-1,-2,0,-1,-2,-1,-1,0,-1,1,0,-1,-1,1,-1,-2,-1,0,0,-2,-1,0,1,2,2,-2,1,0,0,0,0,1,3,3,1,-2,-2,-1,7,-5,2,-1,8,1,-3,0,-6,0,-4,2,-2,-3,3,1,0,2
"502",-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,-2,-2,-2,0,-3,-2,-4,0,-5,-5,-3,0,0,0,0,1,0,2,-1,1,-3,1,1,0,-2,0,0,0,0,4,-1,-1,0,0,1,-1,-1,-1,1,1,-1,-1,0,0,3,0,-2,1,0,0,2,-3,-1,0,0,0,5,0,-1,1,0,0,3,3,2,4,3,0,1,4,2,0,-1,3,0,0,0,0
"503",0,0,0,0,0,3,-3,0,1,0,1,1,-2,-1,0,1,1,-2,3,1,1,1,-2,-1,0,1,1,0,1,-1,0,-1,-1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,2,2,0,1,-1,0,-2,0,4,2,-1,2,6,8,-1,1,0,0,0,-2,-3,1,4,0,-3,2,1,0,0,0,0,-3,0,1,0,2,0,-1,1,0,-1,2,-1,-1,0,-2,1,0,1,-1,-1,0,0,0,-3,2,-2,-1,1,0,0,2,-2,-2,-3,-3,-1,-2,0,-4,-1,4,-2,-3,0,0,-2,2,-2,2,-2
"504",0,0,0,-1,-10,4,0,1,3,2,1,-1,-1,2,-2,0,2,0,0,0,0,0,0,-2,0,-1,1,0,0,-1,-1,1,1,0,1,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-3,0,0,0,1,-4,-1,-5,-5,-2,-3,-7,-7,-5,0,1,0,-1,1,-1,0,0,1,-1,0,0,2,-1,-1,4,-2,-2,0,0,1,0,0,-1,2,-1,0,-1,0,1,-1,2,-2,3,0,-3,2,1,0,4,-1,-3,-1,0,-2,2,-2,0,3,4,7,3,3,3,2,2,0,2,3,-1,1,1,3,1,1,0,1
"505",1,3,-1,1,-3,-1,0,-1,0,0,0,0,2,-1,0,0,0,-1,1,-1,0,2,0,0,-2,0,1,0,-1,0,3,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,2,-1,0,-1,0,1,-2,1,-1,0,5,-5,0,2,2,-4,1,0,0,-1,0,0,3,-3,1,0,2,-2,2,-1,0,1,1,1,-2,5,2,-2,2,-1,5,1,0,3,-1,-1,1,-3,3,0,-3,3,3,1,1,-2,1,3,-1,2,6,1,4,-6,-1,-6,-4,0,-4,1,0,-3,-2,-3,0,-2
"507",5,0,-1,-2,-1,2,-2,2,-1,3,2,0,2,4,2,-2,1,-1,2,0,1,1,0,-1,0,-2,0,0,0,0,2,0,1,0,0,0,0,1,0,2,-1,0,0,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-2,0,-1,0,-8,-4,-1,1,-3,-2,-1,-2,-3,3,-3,5,0,-1,1,2,-6,1,-1,-1,4,1,0,0,1,-1,-2,1,1,-2,1,0,1,0,2,-1,-3,1,-1,1,0,2,-2,3,1,0,1,-2,0,1,0,-1,2,-1,0,-3,-1,1,2,-4,-1,4,3,2,-1,5,4,-2,1,4,0,0,2,-1,1,1,-1
"508",3,1,1,2,2,0,3,0,2,3,2,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,-1,1,1,1,1,-5,-4,-1,0,-3,0,3,-3,0,4,1,-3,-5,2,0,-2,-3,-1,3,0,0,1,0,3,-2,0,1,-1,0,1,0,-2,-1,0,-1,1,0,-3,-1,1,0,0,0,0,-2,0,0,1,4,-1,-1,1,-1,2,-1,0,-2,-2,1,1,4,0,2,3,-6,-2,0,3,-2
"509",-2,2,-1,1,0,0,-2,0,2,-2,1,1,0,-1,1,0,-1,-3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,-2,-1,-5,-2,-4,-1,-2,-4,-5,-3,0,-1,-1,0,1,0,-1,0,0,1,0,-1,2,-2,0,1,-1,5,1,-2,1,1,0,0,1,-1,-1,2,-3,2,1,2,1,0,-1,-1,0,1,-3,-2,1,-1,2,4,4,5,-1,-1,-1,-4,3,2,3,-1,2,1,0,9,1,-1,0,3,-2,0,1,-1,2,-1,1,-1,-1,2,0
"510",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,4,3,1,2,4,6,4,-1,2,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-7,-15,0,-3,5,-4,0,1,0,-1,3,0,2,0,-1,0,-1,-1,3,-2,-2,-3,-1,1,-3,1,-5,4,-7,-3,-1,-4,-5,5,-5,1,-1,0,1,0,-1,2,-1,0,-1,0,0,0,1,3,-2
"511",1,0,1,1,-2,7,-7,5,-4,2,-2,-7,1,-6,1,-3,0,0,2,1,0,1,1,2,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,2,-2,-2,8,3,3,0,-6,-6,4,-2,-3,3,-3,-9,-5,10,-3,-3,3,2,4,11,-7,-4,-7,-6,0,-3,-1,-2,0,0,1,-1,4,-3,-1,0,2,1,0,-2,0,-1,1,0,-1,0,3,0,1,-2,-1,-1,0,1,5,2,-1,0,-4,-2,1,1,4,7,-3,4,-2,3,6,3,6,-6,-7,-6,-8,0,3,-3
"512",2,0,1,-1,0,0,2,1,1,0,-2,1,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-2,-4,0,0,0,0,-3,-1,-3,1,-2,-3,5,-3,-2,-2,0,0,-2,-1,0,1,3,4,3,0,-2,0,2,2,0,-2,1,-2,-1,0,-1,1,0,-1,6,-1,-1,0,-1,-2,1,0,0,1,1,0,-2,0,0,1,2,-2,1,1,-2,2,-1,0,0,3,4,0,2,1,-1,-5,3,2,1,1,2,0,0,0,0
"513",1,-2,1,1,0,0,1,0,0,0,-1,1,0,0,0,0,0,-1,0,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,3,0,0,1,2,-1,-3,-1,0,4,-5,3,-3,-3,-3,0,0,0,2,-1,0,0,0,0,3,0,0,1,1,1,-2,-1,2,-1,1,1,-1,-1,0,0,1,-2,1,-1,-1,0,1,-1,-3,1,1,-1,0,0,0,0,0,-1,0,1,-1,0,1,-1,0,2,0,0,0,0,2,0,0,1,2,-2,0,-2,2,4,-1,1
"514",2,2,2,0,0,2,2,0,1,0,3,2,2,0,-1,1,-1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,1,0,1,0,0,-1,1,0,-1,0,1,-1,0,-1,-1,-3,-2,-5,-1,3,-7,-1,-4,-14,-4,-1,-4,-1,-1,0,2,-2,0,0,-1,1,1,1,-1,0,0,-1,0,0,0,-1,2,2,-2,0,-2,0,3,0,-1,0,-1,-1,0,0,1,0,0,0,2,-1,1,0,3,-5,4,4,1,2,-2,5,1,6,5,10,-14,-9,-13,4,1,8,1,-1,1,2,0,-1
"515",2,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-2,0,-5,0,0,-4,-2,-3,-4,-7,-1,-2,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,4,-1,0,0,0,2,-3,-2,0,1,3,1,-3,1,0,2,-2,1,-1,2,-3,0,2,0,0,0,-1,1,2,2,-1,3,-1,0,1,-2,-1,0,-1,-1,0,0,5,2,-1,8,-4,3,1,1,-1,0,4,5,3,1
"516",-1,1,-1,0,0,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,1,-1,0,0,3,6,5,4,0,3,3,1,0,0,-1,1,1,0,0,-1,-2,0,-1,0,1,0,-1,0,-1,-1,-1,2,0,1,0,-2,1,0,1,1,-1,1,-1,0,-1,1,0,0,0,-2,0,3,0,-1,0,0,2,2,-2,-1,-3,-5,-3,-7,-1,-5,0,0,1
"517",0,0,0,0,0,5,6,-7,-2,-1,-1,0,0,0,0,1,0,0,-1,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,-2,1,-2,-1,0,-1,4,-2,0,-3,-1,5,4,0,5,2,-1,-2,4,2,2,-1,-2,4,-1,1,3,1,-3,-1,-1,0,1,4,2,2,-2,1,-1,-1,3,-2,0,-3,0,0,-2,-1,3,1,0,0,-1,-2,0,-1,-1,5,-2,-2,1,1,-1,2,7,0,0,7,-5,2,-5,-11,0,-14,-7,-10,-1,0,0,0,0,0,0,1
"518",-1,0,0,0,2,-2,0,3,-1,1,4,1,-1,1,-3,2,0,0,1,-2,2,1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-2,0,0,0,0,3,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-3,1,-2,1,0,-1,0,1,-1,0,0,0,1,1,-1,0,2,1,1,2,1,-3,0,2,-1,2,-2,1,0,1,0,2,-1,0,-1,1,3,-5,1,0,4,-4,-1,-1,1,1,-1,0,0,0,-1,-3,-1,0,-1,0,2,2,-1,1,4,-3,0,-2,-2,0,2,-3,6,-1,3,-5,-4,1,-1,2,0,0,0,0,1,3
"519",-2,0,0,0,0,16,3,-11,0,-6,-2,1,0,1,-2,2,0,-1,1,0,0,-2,0,0,1,1,2,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,1,0,0,0,-3,2,0,-1,-3,-3,-3,0,-10,2,-2,0,6,1,2,-3,2,-5,-1,8,3,9,-3,4,4,2,5,0,-2,-1,0,4,-1,0,-3,-1,1,3,-2,0,-1,0,4,-2,2,2,0,0,2,-2,-1,0,-1,2,0,-1,4,-2,5,-2,-1,-1,1,-3,6,4,0,1,0,-2,1,-6,-14,-4,-2,1,-17,-14,0,0,0,1,1,-1,-1
"520",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,1,2,5,4,4,2,7,4,0,-7,-8,-9,-12,8,1,5,5,9,-5,-2,3,-9,-1,-4,1,-11,3,2,-4,-1,2,-1,1,1,4,-1,1,0,-1,-2,-1,0,1,0,0,5,-2,1,-1,-1,-2,-2,0,1,-2,-1,2,-2,-2,1,-1,2,-2,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,-1,1,-1,0,0
"521",-1,1,-2,1,-1,2,-2,1,-1,1,0,-3,1,-1,-1,1,-1,-1,0,-1,1,1,-1,0,-1,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-2,1,0,-1,-2,-6,-7,-6,-5,-1,0,0,0,1,-1,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-1,1,-2,2,-1,0,-1,3,-2,1,5,-1,1,1,-1,-2,2,2,0,3,1,1,2,-1,4,0,-2,3,2,3,2,4,4,2,0,1,0,-2,1,1,0,0,0,0,0,0,0,0,0,-1,0,-4,4,0,0,0,0,0
"522",-1,0,0,0,1,-1,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,-1,1,0,0,4,1,2,2,0,2,4,2,1,10,3,1,6,2,7,0,-1,1,0,0,0,0,0,0,0,0,0,-1,-2,0,1,1,1,-3,0,-2,-1,2,-1,-1,2,0,-1,0,0,0,0,-2,0,-1,0,1,0,-1,1,-2,1,0,-1,-3,-2,-2,-2,-8,-7,-5,-10,-3,1,0,-1,0,1,-1,1,-1,0,0,0,0,0,1
"523",-2,-2,0,1,4,-1,-2,-2,-2,-2,0,1,-6,-4,0,-1,0,0,0,-2,1,-1,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,-2,-3,1,1,-2,0,0,1,1,-2,2,-2,2,-2,3,1,2,0,-3,-3,2,3,0,-5,2,-1,3,1,-2,2,0,-1,1,-1,-2,1,0,-1,-1,1,-2,1,2,1,2,-2,2,-1,-1,2,-1,1,-2,2,2,4,0,0,0,0,0,1,0,1,5,3,6,2,-1,6,1,-4,-6,6,-3,0,4,0,5,-1,0
"524",0,0,1,0,-1,0,1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,1,1,1,5,1,8,3,4,5,11,8,0,0,-1,1,-1,0,1,0,0,-1,1,-2,2,-1,-1,2,0,-2,1,0,0,-2,1,1,0,0,1,-1,-1,0,-5,-1,0,0,4,-3,-2,-3,0,1,-2,-1,-2,-2,1,1,-3,-3,-5,-1,-4,-2,-7,-14,-2,0,2,3,11,11,-6,-7,-2,-12,0,1,-1,0
